Acetazolamide (อะเซตาโซลาไมด์)
Acetylcholine (แอซิติลโคลีน)
Acetylcysteine (อะเซทิลซิสเทอีน)
Acitretin (อาซิเทรติน)
Activated Charcoal (ถ่านกัมมันต์)
Acyclovir (อะไซโคลเวียร์)
Adenosine (อะดีโนซีน)
ALA (กรดอัลฟาไลโปอิก)
Albendazole (อัลเบนดาโซล)
Albumin (อัลบูมิน)
Alfacalcidol (แอลฟาแคลซิดอล)
Allopurinol (อัลโลพูรินอล)
Ambroxol (แอมบรอกซอล)
Amikacin (อะมิคาซิน)
Aminoglycosides (อะมิโนไกลโคไซด์)
Aminophylline (อะมิโนฟิลลีน)
Amiodarone (อะมิโอดาโรน)
Amitriptyline (อะมิทริปไทลีน)
Amlodipine (แอมโลดิปีน)
Ammonium Chloride (แอมโมเนียมคลอไรด์)
Ampicillin (แอมพิซิลลิน)
Astaxanthin (แอสตาแซนทิน)
Atenolol (อะทีโนลอล)
Atorvastatin (อะทอร์วาสแตติน)
Atropine (อะโทรปีน)
Avanafil (อะแวนาฟิล)
Azathioprine (อะซาไธโอพรีน)
Azithromycin (อะซิโธรมัยซิน)
Baclofen (บาโคลเฟน)
BCG (บีซีจี)
Benzodiazepines (เบนโซไดอะซีปีน)
Benzoyl Peroxide (เบนโซอิลเพอร์ออกไซด์)
Beta Blockers (เบต้า บล็อกเกอร์)
Betahistine (เบตาฮีสทีน)
Betamethasone (เบต้าเมทาโซน)
Bisacodyl (บิซาโคดิล)
Bisoprolol (ไบโซโปรลอล)
Botulinum Toxin (โบทูไลนัม ท็อกซิน)
Bromhexine (บรอมเฮกซีน)
Bromocriptine (โบรโมคริปทีน)
Budesonide (บูเดโซไนด์)
Bupropion
Calcium Gluconate (แคลเซียมกลูโคเนต)
Captopril (แคปโตพริล)
Carbamazepine (คาร์บามาซีปีน)
Carbocysteine (คาร์โบซิสเทอีน)
Carvedilol (คาร์วีไดลอล)
Cefazolin (เซฟาโซลิน)
Cefdinir (เซฟดิเนียร์)
Cefditoren (เซฟดิโตเรน)
Cefixime (เซฟิซิม)
Cefotaxime (เซโฟแทกซีม)
Ceftazidime (เซฟตาซิดิม)
Ceftriaxone (เซฟไตรอะโซน)
Cefuroxime (เซฟูรอกซิม)
Celecoxib (เซเลโคซิบ)
Cephalexin (เซฟาเลกซิน)
Cephalosporins (เซฟาโลสปอริน)
Cetirizine (เซทิริซีน)
Chloramphenicol (คลอแรมเฟนิคอล)
Chlorhexidine (คลอร์เฮกซิดีน)
Chlorpromazine (คลอร์โปรมาซีน)
Cholestyramine (คอเลสไทรามีน)
Cilostazol (ซิลอสทาซอล)
Cimetidine (ไซเมทิดีน)
Cinnarizine (ซินนาริซีน)
Ciprofloxacin (ไซโปรฟลอกซาซิน)
Cisplatin (ซิสพลาติน)
Citalopram (ไซตาโลแพรม)
Clarithromycin (คลาริโทรมัยซิน)
Clobetasol (โคลเบทาซอล)
Clonazepam (โคลนาซีแพม)
Clonidine (โคลนิดีน)
Clopidogrel (โคลพิโดเกรล)
Clorazepate (คลอราซีเพท)
Clotrimazole (โคลไตรมาโซล)
